sec,nanosec,frame_id,name0,name1,name2,name3,name4,position0,position1,position2,position3,position4,velocity0,velocity1,velocity2,velocity3,velocity4,effort0,effort1,effort2,effort3,effort4
882,902000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829291395025e-09,0.003480571714070566,0.08210037617026796,6.277310460046495e-06,-0.10235767745866844,-1.2055254847886523e-06,0.0,0.0,0.0,0.0,0.0
882,955000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741129109,-1.4408829454541826e-09,0.0034805717139453187,0.08210037617063866,6.2773103706993775e-06,-0.10235767745910229,-1.2055254917767137e-06,0.0,0.0,0.0,0.0,0.0
882,966000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829233199275e-09,0.0034805717137677775,0.08210037617062779,6.2773103583638e-06,-0.10235767745878122,-1.2055254820677159e-06,0.0,0.0,0.0,0.0,0.0
882,989000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829209922814e-09,0.0034805717137368387,0.08210037617062176,6.2773103469946836e-06,-0.1023576774590208,-1.2055254806872493e-06,0.0,0.0,0.0,0.0,0.0
883,34000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613487486e-05,1.2865331999734053e-07,-0.00010235767741129109,-1.4408829380896983e-09,0.003480571713998959,0.0821003761701496,6.2773103381949015e-06,-0.10235767745822914,-1.2055254946662927e-06,0.0,0.0,0.0,0.0,0.0
883,55000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613487486e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829348442924e-09,0.003480571713924948,0.08210037617031948,6.277310393682437e-06,-0.1023576774587297,-1.2055254895601109e-06,0.0,0.0,0.0,0.0,0.0
883,65000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882933904099e-09,0.0034805717139190337,0.08210037617010196,6.277310343085143e-06,-0.10235767745854416,-1.2055254880785249e-06,0.0,0.0,0.0,0.0,0.0
883,81000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829179703573e-09,0.003480571713813164,0.08210037617076636,6.277310363914076e-06,-0.10235767745912434,-1.205525474642511e-06,0.0,0.0,0.0,0.0,0.0
883,98000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613487486e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829273793108e-09,0.0034805717138415844,0.08210037617047054,6.277310439919503e-06,-0.10235767745918847,-1.205525482259851e-06,0.0,0.0,0.0,0.0,0.0
883,128000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829357484047e-09,0.003480571713817834,0.0821003761705876,6.2773103953577034e-06,-0.1023576774595035,-1.205525490913228e-06,0.0,0.0,0.0,0.0,0.0
883,186000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829379565534e-09,0.003480571713724715,0.08210037617074763,6.2773104343137575e-06,-0.10235767745891929,-1.2055254908023273e-06,0.0,0.0,0.0,0.0,0.0
883,226000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829280113349e-09,0.0034805717136315605,0.0821003761711301,6.277310387304058e-06,-0.10235767745940667,-1.2055254827689169e-06,0.0,0.0,0.0,0.0,0.0
883,288000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829310976274e-09,0.0034805717137164124,0.08210037617077469,6.277310404888468e-06,-0.10235767745897796,-1.2055254892820454e-06,0.0,0.0,0.0,0.0,0.0
